# log(lambda) = a*log(R)^3 + b*log(R)^2 + c*log(R) + d. This is the V2 table including the additional columns Mhe_TAMS and R_TAMS
#M/Msun   Z/Zsun   Mhe_TAMS/Msun   R_TAMS/Rsun   R12/Rsun   R23/Rsun   Rmax/Rsun	a1 b1 c1 d1 a2 b2 c2 d2 a3 b3 c3 d3
20	0.01	6.44	14.1357	686	797	955	-0.0548037	0.3352839	-1.2113750	0.7249275	349.9951728	-3008.2856722	8620.1750373	-8235.9891699	-585.5003615	5200.0240067	-15386.2347254	15166.5037307	
22.5	1.0	7.37	28.8864	977	1.35e+03	1.35e+03	0.0720585	-0.6013285	0.8117414	-0.6544845	-1141.1428763	10447.7517273	-31881.3760528	32423.5635718	0.0000000	0.0000000	0.0000000	0.0000000	
22.5	0.4	7.51	22.1865	998	1.14e+03	1.52e+03	0.1009217	-0.8344797	1.3252647	-0.9315119	-636.3992640	5772.6467841	-17453.8472353	17588.7789620	-916.4231848	8632.5852174	-27095.4542611	28336.1624201	
22.5	0.2	7.56	21.3121	964	1.15e+03	1.4e+03	0.2438192	-1.7389244	3.1444986	-2.0999775	1195.0397752	-10789.9937816	32473.6298883	-32578.7371650	3414.5814408	-31761.2381086	98480.8398500	-101790.0350593	
22.5	0.1	7.65	19.5762	919	1.03e+03	1.27e+03	0.1814256	-1.2640835	2.0326240	-1.2850448	1285.8680743	-11496.4093913	34261.5712548	-34037.0883769	4040.0505746	-37099.8529651	113564.9385418	-115879.5939688	
22.5	0.04	7.70	17.9698	811	894	1.13e+03	0.2351409	-1.4413472	2.1780913	-1.2928101	4033.5226173	-35352.9749412	103289.0597588	-100594.7059827	846.2022759	-7564.5864406	22541.7857740	-22392.5507305	
22.5	0.01	7.64	15.3665	799	861	1.05e+03	-0.0649674	0.3489862	-1.1336874	0.6371279	11511.7008367	-100623.6694977	293185.2142886	-284752.2008219	2010.8707526	-18026.0205609	53863.5730379	-53650.6637698	
25	1.0	8.56	34.6922	1.09e+03	1.5e+03	1.5e+03	0.0688397	-0.5560258	0.6566700	-0.5345448	-739.3224911	6880.9393238	-21344.9151849	22066.8458594	0.0000000	0.0000000	0.0000000	0.0000000	
25	0.4	8.76	25.0288	1.13e+03	1.24e+03	1.62e+03	0.1096440	-0.9100910	1.5338830	-1.1215721	-874.6226855	8053.3526667	-24718.0099552	25287.1753310	-1234.7649341	11695.9870271	-36920.1130893	38836.9258976	
25	0.2	8.82	23.2694	1.07e+03	1.23e+03	1.5e+03	0.2287040	-1.6641439	3.0468175	-2.0785248	1221.0847869	-11174.1463971	34084.3734207	-34656.9882253	5540.5434200	-52151.3435720	163628.4736488	-171133.6604784	
