89.907             0.0001             0.0                rapid_gauNS        zams               82.917             0.0001   0.0                rapid_gauNS        zams               595                0.0323             end                eventsrlo      546966275443197
+1.687381e+02      0.0002             +0.000000e+00      rapid              0                  +1.130168e+02      0.0002             +0.000000e+00      rapid              0                  +4.433927e+03      +9.704685e-01      +1.370000e+04      events         58206485703492
+2.785599e+02      0.0002             +0.000000e+00      rapid              0                  +2.029527e+02      0.0002             +0.000000e+00      rapid              0                  +1.659971e+02      +3.745316e-01      +1.370000e+04      events         125892765373418
+2.927202e+02      0.0002             +0.000000e+00      rapid              0                  +2.858174e+02      0.0002             +0.000000e+00      rapid              0                  +1.265029e+05      +4.029053e-01      +1.370000e+04      events         28956912256985
+2.480930e+02      0.0002             +0.000000e+00      rapid              0                  +5.585380e+01      0.0002             +0.000000e+00      rapid              0                  +2.072858e+02      +8.051078e-01      +1.370000e+04      events         893642225350684
40.52287633997739    0.002              0.0                rapid              tams               12.348086285820981    0.002              0.0                rapid              zams               1492.7998388771941    0.15823461101630856    end                all            911497829637235
8.376              0.0002             0.0                rapid_gauNS        zams               7.968              0.0002             0.0                rapid_gauNS        zams               147000000000000                0.131              end                events         919548165538417
10   0.0002              0.0                rapid              zams               12    0.0002              0.0                rapid              zams               4760000.21008690116315    0.12342202966802474    end                0.1            4
130   0.0002              0.0                rapid              zams               32.31034938394917    0.0002              0.0                rapid              zams               4760000.21008690116315    0.12342202966802474    end                0.1            911148424037998
74.35960184960253    0.002              0.0                rapid              zams               29.386790291627083    0.002              0.0                rapid              zams               25807.895240635262    0.7816685237306217    end                0.1            449745933563353
33.811796706100594    0.002              0.0                rapid              zams               7.747229990040393    0.002              0.0                rapid              zams               1348.4536186370829    0.018422325511015806    end                0.1            314147237260394
68.3190087997164    0.002              0.0                rapid              zams               47.67692982107058    0.002              0.0                rapid              zams               345.8694835193675    0.00018024103779003088    end                0.1            375953195129486
74.10286165276977    0.002              0.0                rapid              zams               44.84196534762216    0.002              0.0                rapid              zams               413.5544845243176    0.2212773305616655    end                0.1            808916323748138
80.89887413386583    0.002              0.0                rapid              zams               69.46632361570622    0.002              0.0                rapid              zams               517.3814118356139    0.12447978174909273    end                0.1            679116837179467
40.52287633997739    0.002              0.0                rapid              zams               12.348086285820981    0.002              0.0                rapid              zams               1492.7998388771941    0.15823461101630856    end                0.1            911497829637235
72.24858428450668    0.002              0.0                rapid              zams               42.96404488813768    0.002              0.0                rapid              zams               284.4629021588095    0.6531825592013344    end                0.1            425534359949351
77.14386674696     0.002              0.0                rapid              zams               36.73191167613448    0.002              0.0                rapid              zams               4299.079539936168    0.39139522486183975    end                0.1            486120489415506
72.4203            0.02               0.0                rapid              zams               58.9593            0.02               0.0                rapid              zams               883.6049012465754    0.3053             end                0.1         1708739972
14.7               0.0002             0.0                rapid              zams               12.6551            0.0002             0.0                rapid              zams               2087.9057524492755    0.6313             end                all         3601592928
72.4203            0.02               0.0                rapid              zams               58.9593            0.02               0.0                rapid              zams               883.6049012465754    0.3053             end                all         1708739972
14.7               0.0002             0.0                rapid              zams               12.6551            0.0002             0.0                rapid              zams               2087.9057524492755    0.6313             end                all         3601592928
65.53881145181712    0.002              0.0                rapid              zams               59.31034938394917    0.002              0.0                rapid              zams               476.21008690116315    0.12342202966802474    end                0.1            911148424037998
72.4203            0.02               0.0                rapid              zams               58.9593            0.02               0.0                rapid              zams               883.6049012465754    0.3053             end                all         1708739972
14.7               0.0002             0.0                rapid              zams               12.6551            0.0002             0.0                rapid              zams               2087.9057524492755    0.6313             end                all         3601592928
98.1744            0.02               0.0                rapid              zams               50            0.02               0.0                rapid              zams               700.773629532923    0.1212             end                events         22770988560082
14.7               0.0002             0.0                rapid              zams               12.6551            0.0002             0.0                rapid              zams               2087.9057524492755    0.6313             end                events         3601592928
20.2647            0.02               0.0                rapid              zams               17.9394            0.02               0.0                rapid              zams               873.0824480128401    0.0911             end                events         3628763511
17            0.017               0.0                rapid              zams               4.8106             0.02               0.0                rapid              zams               23920000000000000000.009398232979    0.164              end                events         1862145531
20            0.017               0.0                rapid              zams               4.8106             0.02               0.0                rapid              zams               23920000000000000000.009398232979    0.164              end                events         1862145531
45.2889            0.02               0.0                rapid              zams               41.8663            0.02               0.0                rapid              zams               3365.003349347251    0.6894             end                events         2597386407
