13.438  0.02 0.0 rapid zams  12.629  0.02 0.0 rapid zams  88.0 0.0084 end all
10.192  0.0002 0.0 rapid zams  8.28  0.0002 0.0 rapid zams  125.0 0.484 end all
10.674  0.0002 0.0 rapid zams  8.568999999999999  0.0002 0.0 rapid zams  20.6 0.198 end all
10.005  0.0001 0.0 rapid zams  9.572  0.0001 0.0 rapid zams  484.0 0.116 end all
14.722  0.0002 0.0 rapid zams  12.605  0.0002 0.0 rapid zams  27.2 0.00598 end all
8.899  0.0001 0.0 rapid zams  7.298999999999999  0.0001 0.0 rapid zams  124.0 0.565 end all
12.121  0.017 0.0 rapid zams  9.216  0.017 0.0 rapid zams  74.9 0.527 end all
12.661  0.001 0.0 rapid zams  10.184  0.001 0.0 rapid zams  48.4 0.0736 end all
15.523  0.0002 0.0 rapid zams  14.199000000000002  0.0002 0.0 rapid zams  357.0 0.479 end all
12.882  0.004 0.0 rapid zams  10.025  0.004 0.0 rapid zams  42.6 0.382 end all
9.58  0.0001 0.0 rapid zams  8.79  0.0001 0.0 rapid zams  167.0 0.58 end all
12.053  0.0008 0.0 rapid zams  9.862  0.0008 0.0 rapid zams  52.5 0.521 end all
10.286  0.0002 0.0 rapid zams  8.806000000000003  0.0002 0.0 rapid zams  52.6 0.23 end all
13.689  0.02 0.0 rapid zams  12.782  0.02 0.0 rapid zams  863.0 0.0196 end all
12.234000000000002  0.0001 0.0 rapid zams  9.301  0.0001 0.0 rapid zams  109.0 0.0263 end all
9.285  0.0001 0.0 rapid zams  6.372999999999998  0.0001 0.0 rapid zams  155.0 0.52 end all
14.05  0.008 0.0 rapid zams  12.515  0.008 0.0 rapid zams  1710.0 0.5329999999999999 end all
13.050999999999998  0.0004 0.0 rapid zams  8.343  0.0004 0.0 rapid zams  111.0 0.181 end all
10.93  0.0001 0.0 rapid zams  7.193  0.0001 0.0 rapid zams  120.0 0.5770000000000001 end all
11.539  0.002 0.0 rapid zams  8.642000000000001  0.002 0.0 rapid zams  49.9 0.262 end all
13.629  0.02 0.0 rapid zams  10.735  0.02 0.0 rapid zams  74.2 0.451 end all
13.258  0.004 0.0 rapid zams  11.549  0.004 0.0 rapid zams  41.8 0.0763 end all
12.428  0.0006 0.0 rapid zams  11.219  0.0006 0.0 rapid zams  192.0 0.111 end all
13.287  0.002 0.0 rapid zams  11.419  0.002 0.0 rapid zams  71.5 0.403 end all
10.64  0.0004 0.0 rapid zams  8.673  0.0004 0.0 rapid zams  57.1 0.135 end all
